,Id,Name,Zone,Description,Tel,Add,Region,Town,Travellinginfo,Opentime,Picdescribe1,Px,Py,Orgclass,Ticketinfo,Remarks,Keyword,seg
119,119,吉利潭,,四周青山環繞，一汪清潭宛若山間明月，帶點中國風的拱橋倒映在水面上，走在環潭步道上欣賞眼前美景、認識水中生物，為旅人帶走都市的喧囂，這就是隱藏在光復馬錫山下的山中秘境──吉利潭，也是花蓮近期新興景點，擁有戲水道、生態浮島等設施，為炎炎夏日親子戲水、踏青與認識自然生態的好去處。吉利潭原本是日治時期遺留下來的儲木池，上游源自一處有三層的瀑布，大小潭蓄滿了清徹的山泉水，是雙色澤蟹、拉氏清溪蟹、菊池氏細鯽等原生動物的棲地，也是光復鄉阿美族的戲水秘境與祈雨聖地。隨著伐木業沒落而荒蕪的吉利潭，經過整治、美化後，成為認識自然生態的親水公園，站在橋上聽著潺潺流水聲，或是在涼亭遠眺馬錫山、與親朋好友話家常，清幽的環境是來光復必訪的景點之一。,886-3-8875306,花蓮縣976光復鄉大馬村,花蓮縣,光復鄉,,詳見官網或電話洽詢,空拍吉利潭,121.39704,23.67975,,,,,"['認識', '生態', '吉利', '秘境', '戲水', '清潭', '拉氏', '菊池', '阿美族', '山泉水', '潺潺流水', '環繞', '山間', '帶點', '中國風', '拱橋', '環潭步', '欣賞', '喧囂', '隱藏', '花蓮', '新興景點', '擁有戲', '浮島', '設施', '親子', '日治', '時期', '儲木池', '一處', '三層', '蓄滿', '清徹', '雙色澤蟹', '氏細', '動物', '棲地', '聖地', '隨著', '業沒落', '荒蕪', '經過', '成為', '親水公園', '橋上', '涼亭', '眺馬錫山', '親朋', '環境', '必訪']"
121,121,吉蒸牧場,,來到鮮奶產地的瑞穗，當然不容錯過到牧場品嘗鮮榨牛奶的滋味！在瑞穗共有兩間牧場，一處是廣為人知的瑞穗牧場，另一處便是位在秀姑巒溪泛舟遊客中心旁的吉蒸牧場，園區內擁有販售部、餐廳、可愛動物園區，少了一分喧囂氣息的牧場，讓旅人可以多享受一份清淨，靜靜遠眺秀姑巒溪，或是在溪畔旁漫步。與秀姑巒溪相伴的吉蒸牧場，將自產香醇濃郁的牛奶，製作成各種乳製品，在夏天來杯牛奶冰淇淋、鮮奶饅頭；在冬天大啖香濃的牛奶鍋，最後別忘了在園區內散步，餵食山羊、迷你馬等動物，體驗與自然相鄰的清幽。,886-3-8875588,花蓮縣978瑞穗鄉中山路三段230號,花蓮縣,瑞穗鄉,,08:00~17:30,吉蒸牧場,121.39876,23.4835,,,,,"['牧場', '姑巒', '園區', '瑞穗', '牛奶', '鮮奶', '一處', '蒸牧場', '溪畔', '產地', '當然', '錯過', '品嘗鮮', '兩間', '廣為', '人知', '位在秀', '遊客', '擁有', '販售部', '餐廳', '可愛動物', '喧囂', '氣息', '清淨', '靜靜遠', '眺秀', '與秀', '將自產', '濃郁', '各種', '來杯', '饅頭', '香濃', '最後別', '餵食', '動物', '體驗', '相鄰', '香醇', '冰淇淋', '旅人', '泛舟', '迷你', '清幽', '漫步', '作成', '相伴', '散步', '山羊']"
122,122,鯉魚潭遊客中心,,大眾運輸點此連結&gt;&gt;&gt;台灣好行-縱谷花蓮線資訊(時刻表/票價表)無障礙公車預約&gt;&gt;&gt;&gt;台灣好行無障礙預約資訊坐擁湖光山色美景的鯉魚潭遊客中心，位在鯉魚潭的潭北，提供遊客單車出租、伴手禮販賣部、休憩與諮詢解說等服務，走進遊客中心的其中一間館舍，可以看見極具原住民特色的木雕迎接旅人，內部設有展示館，用模型、豐富的照片與圖文解說，介紹鯉魚潭的形成與自然景觀，以及在地原住民文化。邁開步伐往內走，走道兩旁是花東縱谷產業特色說明，六十石山金針花海、縱谷一望無際的田園風光、初鹿牧場香純的鮮奶&hellip;&hellip;等詳盡導覽，是旅人來鯉魚潭遊玩、喝杯下午茶之際，還能了解花東縱谷特色產業，並規劃重點旅遊的好去處。貼心提醒：遊客中心有2台行動輪椅及1台電動...,886-3-8641691,花蓮縣974壽豐鄉環潭北路100號,花蓮縣,壽豐鄉,,08:30~17:30,鯉魚潭遊客中心,121.50803,23.93493,,,設有無障礙通道,,"['gt', '縱谷', '魚潭', '遊客', '原住民', '台灣', '好行', '資訊', '無障礙', '預約', '花東', 'hellip', '旅人', '特色', '中心', '文解', '大眾', '運輸點', '此連結', '花蓮線', '時刻表', '票價表', '公車', '單車', '伴手', '禮販', '賣部', '詢解', '服務', '進遊客', '一間', '館舍', '看見', '極具', '內部', '設有', '豐富', '介紹', '景觀', '邁開', '往內', '兩旁', '縱谷產業', '說明', '金針', '無際', '田園', '風光', '初鹿牧場', '香純']"
123,123,鶴岡遊客中心,,位在瑞穗鄉、緊靠海岸山脈的鶴岡遊客中心，是花東縱谷國家風景管理處的處本部，除了提供各式各樣的旅遊摺頁、親切的遊客諮詢服務之外，鶴岡遊客中心前方有著遼闊美麗的草皮，十分適合帶著家中毛小孩、寶貝進行休閒活動，一旁也有帶點中國風的涼亭供旅人休憩。瑞穗鄉是柚子的產地，以鶴岡地區的文旦柚出名，每逢3月中下旬，正逢柚子樹開花的季節，這時來到鶴岡遊客中心，不僅可見一排排柚子樹開滿朵朵白花，還能參加舉辦瑞穗柚花健走路跑活動，享受在柚花清香中揮汗的快感。貼心提醒：遊客中心有1台行動輪椅可出借使用喔！鶴岡遊客中心內相關服務設施1、無障礙坡道及服務鈴2、行動輪椅3、無障礙親子公廁4、無障礙汽機車停車格5、無障礙盲人點字飲水機6、手杖7、哺乳室8、嬰兒推車9、手機充電11、汽、機車空壓機及汽車電瓶充電11、視聽...,886-3-8875306,花蓮縣978瑞穗鄉鶴岡村17鄰興鶴路二段168號,花蓮縣,瑞穗鄉,,08:30~17:30,花東縱谷國家風景管理處暨鶴岡遊客中心,121.39087,23.52407,,,,,"['鶴岡遊客', '無障礙', '瑞穗', '柚子', '中心', '遊客', '活動', '輪椅', '充電', '11', '文旦', '緊靠', '山脈', '花東', '縱谷', '國家', '風景', '各樣', '旅遊', '親切', '詢服務', '有著', '遼闊', '美麗', '適合帶', '寶貝', '進行', '休閒', '帶點', '中國風', '涼亭', '產地', '以鶴岡', '地區', '樹開花', '季節', '這時', '不僅', '可見', '樹開', '還能', '參加', '舉辦', '柚花健', '柚花', '中揮', '貼心', '台行動', '內相關', '服務']"
124,124,羅山遊客中心,,行走於台九線來到米之鄉富里，在富里鄉農會展售中心附近的羅山遊客中心，是進入羅山遊憩區的第一站，佔地廣大又整潔的遊客中心，提供了旅遊諮詢、哺集乳室、照護床、穆斯林祈禱室利用、手機平板充電與地質地景影片欣賞&hellip;等服務。遊客中心在戶外擺放幾處野餐桌椅，讓人可以伴著青山白雲、田園景緻，享用自行攜帶的美食，度過一個悠閒美好的時光，再繼續前往拜訪山中有機村，一探泥火山與泥火山豆腐的奧秘。貼心提醒：遊客中心有行動輪椅、手搖車及照護床各1台可出借使用喔！羅山遊客中心內相關服務設施有1、照護床2、無障礙坡道及服務鈴2、無障礙電梯3、行動輪椅4、無障礙親子公廁5、無障礙停車場6、哺乳室7、祈禱室8、淋浴間9、輪胎充氣10、汽車緊急電源11、行李寄放12、醫藥箱13、老花眼鏡、雨傘借用14、視聽室...,886-3-8821725,花蓮縣983富里鄉9鄰東湖39號,花蓮縣,富里鄉,,08:30~17:30,羅山遊客中心,121.2759,23.20164,,,,,"['無障礙', '遊客', '照護床', '中心', '泥火山', '富里', '山遊客', '祈禱', '服務', '輪椅', '老花眼', '寄放', '台九線', '農會', '展售', '進入羅山遊', '憩區', '佔地', '廣大', '整潔', '旅遊諮詢', '哺集', '乳室', '手機', '充電', '地質', '地景', '欣賞', 'hellip', '戶外', '擺放', '幾處', '伴著', '田園', '攜帶', '度過', '一個', '悠閒', '時光', '繼續', '拜訪', '機村', '奧秘', '貼心', '有行動', '手搖車', '內相關', '設施', '服務鈴', '電梯']"
127,127,東華大學,,東華大學西依巍峨的中央山脈，東臨連綿不絕的海岸山脈，諾大的校區擁有青青草地、歐式風格的建築與三座絕美的湖畔──小華湖、華湖及東湖，其中以東湖最富盛名，波光瀲灩的湖景搭配歐風建築和遠方蒼綠的山巒，宛若明信片上的風景，成為旅人或新人拍婚紗照的經典拍攝地，而遼闊的草地更是毛小孩追逐嬉戲的天堂。帶點花東獨特的悠閒步調，那湖光山色的風景，讓東華大學成為花蓮最美的校園，走在綠蔭遮蔽的步道中，不時可見莘莘學子結伴而行，搭配六月鳳凰花開的季節景致，構成一幅交織人文自然美景的畫作。當夜晚降臨時，屬於東華大學的隱藏版美景才正要上演，躺在草地上欣賞滿天浩瀚無垠的星空，可是學生專屬的獨特體驗呢！,886-3-8903000,花蓮縣974壽豐鄉大學路二段一號,花蓮縣,壽豐鄉,,詳見官網或電話洽詢,充滿歐風的東華大學是拍婚紗照的經典地方,121.5418,23.89754,,,1.有開車的遊客，請記得在校門口換證才能進入2.無東華大學車輛識別證的機車，需要停在校門口的停車場,,"['東華大學', '草地', '山脈', '建築', '風景', '成為', '美景', '搭配', '步道', '西依', '東臨', '連綿', '不絕', '諾大', '校區', '擁有', '歐式', '風格', '美的', '小華湖', '華湖', '東湖', '以東湖', '瀲灩', '湖景', '歐風', '遠方', '蒼綠', '山巒', '拍婚', '紗照', '經典', '攝地', '遼闊', '嬉戲', '帶點', '花東', '獨特', '悠閒步', '花蓮', '校園', '綠蔭', '不時', '可見', '莘莘學子', '結伴', '鳳凰花', '季節', '構成', '交織']"
128,128,紅葉菸樓,,提到菸樓，許多人的第一印象便是鳳林，但瑞穗曾是種植菸葉的生產地，於菸樓製好的菸葉都會送往鳳林做販售。在行經紅葉溫泉的路途中，在便利商店的對面小巷子，深藏著一棟又一棟的菸樓，層層青苔覆蓋在黑瓦上，滄桑斑駁的紅磚牆與木板，彩繪著令人省思的新詩與畫作，漫步小巷裡，讓旅人可以遙想當年瑞穗製菸的風華歷史。在日治時期，菸葉又稱作綠金，是非常具經濟價值的農作物，早期只有日本人有權能夠製菸，並聘用當地人種植與燻製菸葉，在二次世界大戰結束後，當年用來燻製與儲存菸葉的菸樓，由屋主贈與佃農，或是由仕紳擔任的保正（類似現今的里長）進行分配。如今瑞穗僅存14棟較為完整的菸樓，部分的菸樓因久年失修，用於排煙的屋頂、建築主體呈現頹傾的模樣，前往欣賞的旅人務必要小心。,886-3-8875306,花蓮縣978瑞穗鄉溫泉路二段210巷,花蓮縣,瑞穗鄉,,詳見官網或電話洽詢,紅葉菸樓,121.35849,23.49432,,,紅葉菸樓靠近紅葉國小及全家便利商店,,"['瑞穗', '鳳林', '當年', '旅人', '便利商店', '許多人', '種植', '生產地', '販售', '行經', '紅葉', '溫泉', '對面', '著一棟', '一棟', '層層', '覆蓋', '滄桑斑', '紅磚', '彩繪著', '省思', '新詩', '畫作', '遙想', '日治', '時期', '稱作', '綠金', '具經濟', '價值', '人有', '權能', '當地', '人種', '大戰', '結束', '屋主', '佃農', '由仕紳', '擔任', '類似', '現今', '進行', '僅存', '14', '因久', '排煙', '屋頂', '建築', '主體']"
129,129,馬太鞍休閒農業區,,花蓮光復鄉的馬太鞍濕地，是一處湧泉不絕的天然沼澤濕地，並孕育出豐富的鳥類、蛙類、底棲性魚類等多樣化自然生態。還能體驗獨特的巴拉告生態捕魚法，讓人不僅可以上一堂生態課，還能嘗到現撈的魚蝦、鹽烤吳郭魚，以及特有的石頭火鍋，來一場原民美食饗宴。馬太鞍是阿美族人的傳統生活區域，昔日這裡長滿了樹豆，因此被稱為馬太鞍（vataan，阿美族語樹豆之意）。而居住在此的阿美族人，發展出「Palakaw」巴拉告生態捕魚法，利用中空的竹子、樹枝等，製作出三層的結構物放入水塘中，讓魚蝦喜歡、小魚能自由出入的棲息地，經過一段時間後，將九芎枝幹提出水面，即可將攀附在樹枝間的小蝦抖入三角魚網中；而藏放在底層的大竹筒能輕鬆捕獲鱔魚、土虱或鰻魚等底棲性魚類。他們堅守不竭澤而漁的原則，讓人感受到阿美族人的生活智慧。每到5月至8...,886-3-8701861,花蓮縣976光復鄉大全村大全街 (大約於臺9線250K西側轉入),花蓮縣,光復鄉,,依粉絲團開放時間說明,馬太鞍濕地是一處湧泉不絕的天然沼澤濕地,121.41131,23.65915,,園區免費參觀,1.想要品嘗石頭火鍋需事先預訂2.５至８月可賞荷花,,"['阿美族', '底棲性', '魚類', '生態', '還能', '告生', '態捕', '魚法', '魚蝦', '巴拉', '花蓮光', '太鞍濕', '一處', '湧泉', '不絕', '沼澤濕', '豐富', '鳥類', '蛙類', '多樣化', '體驗', '獨特', '不僅', '嘗到', '現撈', '吳郭魚', '石頭', '火鍋', '一場', '原民', '太鞍是', '傳統', '區域', '這裡長', '樹豆', 'vataan', '語樹豆', 'Palakaw', '樹枝', '三層', '結構物', '喜歡', '小魚', '棲息', '經過', '時間', '將九芎', '樹枝間', '抖入', '魚網']"
3156,3156,大峰峰火山頸,,大峰峰火山頸是東部海岸火山運動的重要遺跡之一，奇特且完整的百褶裙式塔狀柱狀節理是不多見的地質景觀，可媲美澎湖員貝島擁有相同柱狀節理的地景，周圍也有許多火山運動的遺跡，包括一般火山運動的柱狀節理及火山頸露頭，是地質學上極具有參考研究價值的地貌。,886-8-9832139,臺東縣962長濱鄉台11線約73公里處,花蓮縣,豐濱鄉,搭乘公車：1.搭乘鼎東客運海線8101、8102、8105、8119次公車於大峰村站下車，沿台11線北上方向行進約250公尺後轉往海岸邊小路，續行約500公尺即可到達。2.搭乘花蓮客運1145次公車於大峯村站下車，沿台11線北上方向行進約250公尺後轉往海岸邊小路，續行約500公尺即可到達。,全日,,121.49517,23.43406,,,1.地質景觀生成不易，請勿隨意破壞或盜取。2.因景點靠近海岸，請注意自身安全。,,"['火山', '運動', '遺跡', '柱狀', '節理', '東部', '狀柱', '狀節理', '地質', '景觀', '員貝島', '擁有', '地景', '周圍', '許多', '頸露頭', '地質學', '上極', '參考', '價值', '百褶裙', '峰峰', '澎湖', '媲美', '奇特', '地貌', '海岸', '完整', '相同', '之一', '具有', '研究', '一般', '包括', '重要']"
3163,3163,遠雄海洋公園,,遠雄海洋公園座落於臺灣最美麗的東海岸風景區台灣第一座最大最美且具國際水準的海洋休閒、旅遊及渡假的王國。,886-3-8123199,花蓮縣壽豐鄉鹽寮村福德189號,花蓮縣,壽豐鄉,,平 日-09：30 ~ 17：00暑 假-09：00 ~ 18：30,,121.60337,23.90136,,全票890元；優待票790元學童/博愛票590元；特惠票420元幼童票390元,,,['nan']
3164,3164,磯崎海濱休憩區,,磯崎海濱休憩區位於花蓮縣豐濱鄉的磯崎海灣，距離花蓮市約40公里，周邊群山環繞，在休憩區南端，點綴了一座高約100公尺的大石鼻山，並設有一條大石鼻山步道，長910公尺左右，大部分為枕木及石頭階梯構成。,886-3-8711381,花蓮縣豐濱鄉磯崎村6-1號,花蓮縣,豐濱鄉,,視天候及海上風浪情形開放，營運廠商詢問電話：03-8711235,,121.54963,23.70055,,【磯崎海水浴場】全票:NT$100元團體、學生票:NT$50元半票:NT$30元(兒童身高110至140公分)兒童110公分以下免費,,,['nan']
3165,3165,牛山海岸水璉濕地,,牛山自然保護區位於水璉、番薯寮坑至磯崎之間，為花東沿海五處自然保護區之一。不僅擁有美麗的自然風景，牛山鼻的曲折紋理更是地質學的優良教材。水璉為漢族與阿美族混合居住的社區，原灌木叢林茂密，水源豐富，「水蛭」很多，因而阿美族人稱此地為「基偉地岸」(Ciwdiyan)，即「盛產水蛭」之涵意，漢人取其諧音稱為「水璉」。,886-3-8601400,花蓮縣壽豐鄉水璉村牛山39-5號,花蓮縣,壽豐鄉,,上午9:00到晚上9:00,,121.5694,23.76344,,牛山呼庭園區需付50元門票，可抵用餐飲,,,['nan']
3166,3166,蕃薯寮,,蕃薯寮位於海岸公路18號橋旁，是東海岸最為獨特的峽谷景觀，在此可以觀賞到公路兩側，因不同地質在溪流的堆積及切割作用下，形成對比明顯的地形景觀。,886-3-8671326,花蓮縣壽豐鄉水璉村芳寮坑十八號橋旁,花蓮縣,壽豐鄉,,全日,,121.55528,23.74683,,免費,,,['nan']
3167,3167,和南寺,,和南寺位在鹽寮村海岸公路旁，是傳慶老和尚於西元1967年(民國56年)翻山越嶺到此修行時所創建，不但是東部著名的佛門道場，更是佛教藝術的殿堂。,886-3-8671001,花蓮縣壽豐鄉鹽寮村191號,花蓮縣,壽豐鄉,,07:00～19:00,,121.59874,23.87652,,,,,['nan']
3168,3168,秀姑巒溪,,秀姑巒溪發源於秀姑巒山，全長103公里，全年河水豐沛，為臺灣東部最大的河川。河道迂迴，流經瑞穗切穿海岸山脈，形成峽谷與曲流；每年五月到十月豐水期，可讓遊客體驗泛舟活動的刺激與快感,886-3-8875400,花蓮縣瑞穗鄉中山路三段215號,花蓮縣,瑞穗鄉,,24,,121.40109,23.48786,,,,,['nan']
3169,3169,靜浦北迴歸線界標,,北迴歸線是北半球溫帶和熱帶的分界線，環繞北半球十六個國家，其中在臺灣就有三座北迴歸線標碑，分別位於嘉義的水上、花蓮的舞鶴及花蓮的靜浦，每年夏至時（6月21日或22日），正午的太陽直射此地,886-3-8671326,花蓮縣豐濱鄉臺11線南下，經長虹橋後，北回歸線標即位於臺11線70公里處,花蓮縣,豐濱鄉,,24HR,,121.49617,23.45141,,,,,['nan']
3170,3170,月洞遊憩區,,月洞位於花蓮縣豐濱鄉，在石梯坪之南距港口村約1公里，是一個天然的鐘乳石洞穴，也是港口部落原住民眼中的一塊淨地；洞中有積水成池大約5公尺，湖水會隨著月亮盈虧而漲落，所以稱作「月洞」，又名「月井」,886-3-8781022,花蓮縣豐濱鄉港口村石梯坪53號,花蓮縣,豐濱鄉,,09:00~17:00,,121.50773,23.48005,,全票100元，半票50元(包含搭船參觀及解說費用),,,['nan']
3171,3171,芭崎眺望台,,1、絕美海景芭崎賣店  2、東海岸沿線上絕美的休憩區 3、可眺望磯崎海灣與大石鼻山山頭 ,886-3-8671326,花蓮縣豐濱鄉臺11線31公里處,花蓮縣,豐濱鄉,,全日,,121.55857,23.73134,,免費,,,['nan']
3172,3172,池南國家森林遊樂區,,池南是花蓮林業史上三大傳奇之一：哈崙山地鐵道的起點。從1930年開始，日本人規劃、國民政府擴建，打造了全長將近50公里，花蓮最輝煌的林業鐵道帝國。直到1989年全面禁伐，地處深山的哈崙工作站裁撤，從此與世隔絕，僅留下池南轉運站轉型為森林遊樂區，讓人們緬懷這段林業時光。除了歷史，池南的森林以桑科、樟科為主，交雜著光蠟樹等造林樹種，東部特有的烏頭翁時常出沒其中，也是人們親近大自然的好選擇。,886-3-8641594,花蓮縣壽豐鄉花蓮縣壽豐鄉池南村林園路76號,花蓮縣,壽豐鄉,,08:00~17:00,,121.50201,23.91821,,全票/50元(假日)40元(非假日)；半票/25元；優待票/10元；免票,,,['nan']
3173,3173,松園別館,,位在美崙山的松園別館是花蓮縣僅存日治時期最完整的一棟軍事建築，擁有制高點的地理優勢，視野良好，不但可以監控眼前太平洋海面上的軍艦船隻，也能掌握從前附近南機場飛機的起降，加上滿天茂密的松樹枝葉，讓這棟灰色建築更是顯得隱密。,886-3-8356510,花蓮縣花蓮市花蓮市松園街65號(原水源街26號),花蓮縣,花蓮市,,每月第二個週二休館。週一至週日上午9點至下午6點。,,121.61606,23.98254,,102年11月15日起松園別館收取門票，全票50元，半票25元，團體票40元，其餘依據花蓮縣歷史建築松園別館門票收費基準表。,,,['nan']
3174,3174,佐倉步道,,佐倉步道位於花蓮市西郊，原為台泥採礦道路，經花蓮林區管理處整修規劃為適合民眾健走休憩的生態步道，交通便利，路緩好走，沿途植栽豐富，草地綠意盎然，隨著山勢蜿蜒而上，能逐漸俯瞰整個奇萊平原及壯闊的太平洋,886-3-8325141,花蓮縣吉安鄉沙婆礑山東麓,花蓮縣,秀林鄉,,24H,,121.57653,24.01859,,,,,['nan']
3175,3175,楓林步道,,位於花蓮縣吉安鄉福興村全長近3公里的「楓林步道」，沿途種植了各種花卉，春天一到，杜鵑、梅花、桃花相繼盛開，花丁子及馬櫻丹相互爭豔；到了秋季，漫步在火紅色的楓葉林中有如置身於詩畫之中，令人難以忘懷。,886-3-8523126,花蓮縣吉安鄉福興村,花蓮縣,吉安鄉,,24h,,121.54827,23.96948,,,,,['nan']
3176,3176,初英親水生態公園,,初英親水生態公園位於初英山自行車道上，內設有生態池、小橋流水、水車涼亭，還有兒童遊憩設施供親子遊玩，周圍樟樹、落羽松樹林立，結合牧場、田園景緻、青青綠地以及潺潺的流水都是初英生態親水公園的魅力所在,886-3-8523126,花蓮縣吉安鄉南華村初英親水生態公園 ( 初英自行車道上),花蓮縣,吉安鄉,,全天,,121.54219,23.95456,,,,,['nan']
3177,3177,知卡宣森林公園,,「知卡宣」是吉安鄉的舊名，1985年花蓮縣政府將苗圃遷至此處，重新規劃整修，讓知卡宣成為自然生態的重要基地，也是假日遊憩的重要場所。園區植物種類豐富，「原生植物區」更能見到珍貴的在地原生物種，是生態保育的教科書，另外還有水生植物區、綠色廣場區等八大區域,886-3-8233575,花蓮縣吉安鄉中正路二段(花蓮監理站對面),花蓮縣,吉安鄉,,每日大門開放及人員管理時間為上午07:30至下午17:00，其餘2個東側門及南側門全天24小時開放，遊客隨時均可入園遊覽賞玩。,,121.5843,23.95604,,免費,,,['nan']
3178,3178,蓮城蓮花園,,目前園區內育有60多種不同香味與花色的蓮花品種，每日皆可採收數千枝的蓮花，於2002年獲得十大傑出青年神農獎的肯定。,886-3-8532828,花蓮縣吉安鄉南華村南華五街66號,花蓮縣,吉安鄉,,上午08：00到18：00止,,121.54491,23.95688,,,,,['nan']
3179,3179,赤柯山,,與六十石山齊名的赤科山，以「赤科三景」與金針花海聞名，每逢8月至9月的金針花季，整片山丘開滿了黃澄澄的金針花海，那萬花齊開的壯闊景致，讓來訪的遊客驚呼之餘，還能看見農民穿梭在金針花田，忙著採收含苞待放的金針這番人文景致。,886-3-8875306,花蓮縣玉里鎮觀音里高寮村,花蓮縣,玉里鎮,,24HR,,121.37469,23.3913,,,,,['nan']
3180,3180,明利飛行傘起飛場,,,886-9-35068298,花蓮縣萬榮鄉明利村,花蓮縣,萬榮鄉,,全天,,121.3929,23.70576,,,,,['nan']
3181,3181,鐵份瀑布,,鐵份瀑布又名為石公瀑布，水流主要出自海岸山脈西側的山頭，瀑布高約26公尺，想要看見鐵份瀑布的銀絹身影，除了要走一小段石階，更須奮力爬上攔砂壩，當你聽見陣陣水流聲，就會知道鐵份瀑布離你不遠了。,886-3-8880181,花蓮縣玉里鎮東豐里內,花蓮縣,玉里鎮,,08:00-17:00,,121.35086,23.3509,,,,,['nan']
3182,3182,國立東華大學,,壽豐主校區坐落於花東縱谷北端,886-3-8635000,花蓮縣壽豐鄉大學路二段一號,花蓮縣,壽豐鄉,,全天,,121.54452,23.89231,,無，開車需換證件即可進入,,,['nan']
3183,3183,新城天主堂,,新城天主堂是台灣少見日本神社與西方天主教堂融合的特色建築，諾亞方舟的教會建築被綠色藤蔓覆蓋更增添神秘感,886-3-8611722,花蓮縣新城鄉博愛路64號,花蓮縣,新城鄉,,隨時，但建議白天去,,121.6498,24.1281,,免費,,,['nan']
3184,3184,慈濟靜思精舍,,慈濟靜思精舍位於新城鄉康樂村，是佛教慈濟功德會所在地，一棟灰瓦白牆的樸素建築，就座落在佳民國小旁等待著有緣人的到來。整座精舍像是小型的日式庭園，充滿平和與寧靜,886-3-8266779,花蓮縣新城鄉康樂村精舍街88巷1號,花蓮縣,新城鄉,,導覽時間上午06：00至晚上06：00,,121.60147,24.05458,,,,,['nan']
3185,3185,米棧古道,,米棧古道是昔日東海岸水璉與壽豐鄉的挑夫路。村民肩挑稻米，翻越海岸山脈、橫渡溪流，將米賣至壽豐鄉，而米棧村即為米糧堆放的中斷站,886-9-22305076,花蓮縣壽豐鄉米棧村,花蓮縣,壽豐鄉,,全年無休,,121.52487,23.79889,,無,,,['nan']
3186,3186,鯉魚潭,,鯉魚潭位於壽豐鄉池南村鯉魚山腳下，因東傍鯉魚山而被命名為鯉魚潭。鯉魚潭可分潭南、潭北，潭北附近有銅門慕谷慕魚、翡翠谷，潭南則鄰近池南森林遊樂園區等景點,886-3-8641691,花蓮縣壽豐鄉池南村環潭北路100號,花蓮縣,壽豐鄉,,遊客中心：08:30-17:30,,121.50965,23.93045,,,,,['nan']
3187,3187,荖溪、白鮑溪親水園區,,【白鮑溪親水園區】位於花蓮壽豐，導航可以直接設定＂白鮑溪＂就可以到了，或是花蓮市走台9丙線，經過鯉魚潭，至重光橋右轉；或再直行200公尺過荖溪橋右轉白鮑溪產業道路就可以看到了！抵達時有一片空地可以停放車輛，往下走就可以親近溪水了，是不需要跋山涉水下車就可以玩的溪邊玩水景點！,886-3-8221141,花蓮縣壽豐鄉鯉魚潭上游,花蓮縣,壽豐鄉,,,,121.51108,23.88973,,,,,['nan']
3188,3188,玉里協天宮,,玉里協天宮，臺灣花蓮縣玉里鎮廟宇，主祀關聖帝君，亦稱玉里關帝廟，有「花東三大廟宇」之稱,886-3-8882252,花蓮縣玉里鎮民生街52巷13號,花蓮縣,玉里鎮,,晚上21點前,,121.31815,23.33356,,,,,['nan']
3189,3189,豐田移民村﹙菸樓﹚,,熊本一家參觀完文史館後照著豐田文史館上的景點地圖準備尋找全台唯一僅存的廣島式菸樓。,886-3-8653830,花蓮縣壽豐鄉豐山村、豐裡村、豐坪村等三村總稱,花蓮縣,壽豐鄉,,早上9:00~下午17:00（週一休館）,,121.50785,23.84109,,免費參觀。(該地多處房舍仍有居民居住，欲參觀請事先徵求居民同意),,,['nan']
3190,3190,六十石山,,六十石山、赤科山、太麻里山為花東縱谷三大金針栽植區，也是每年8月至9月賞金針花海的好去處。六十石山位在富里鄉竹田村東側海拔約800公尺的海岸山脈上，經過一段蜿蜒的山路後，眼前出現無邊無際的田野景致，幾座農舍、涼亭散落在金黃色的金針花田間，形成一幅樸質的田園畫作,886-3-8821725,花蓮縣富里鄉竹田村,花蓮縣,富里鄉,,終年開放，金針花季車潮眾多有管制。,,121.3176,23.21907,,無,,,['nan']
3191,3191,鳳林校長夢工廠,,校長夢工廠是閒置空間再利用，在日據時期為「鳳林支廳長官舍」， 後來為鳳林國中第一屆校長張七郎的宿舍,886-3-8764779,花蓮縣鳳林鎮民生街10號,花蓮縣,鳳林鎮,,每天上午8：30-12：00下午 13：30-17：00,,121.44937,23.74778,,,,,['nan']
3192,3192,七星潭風景區,,七星潭富有詩意的名稱，據說是位於花蓮師範學院和花蓮機場一帶，早年有零星湖泊散佈，後來因建設需要而填實。現在一般稱七星潭，是指美崙工業區和花蓮機場以北的地區，有斷層形成的海峽與優美的弧形海灣，具有豐富的自然人文景觀,886-3-8221592,花蓮縣新城鄉海岸路,花蓮縣,新城鄉,,全年開放，颱風天時會有管制,,121.62852,24.03202,,,,,['nan']
3193,3193,鳳林客家文物館,,座落在鳳林公園內的客家文物館，1993年成立至今，是臺灣東部第一座客家文物館。館藏分為兩層樓，一樓展示移居花蓮的客家人墾拓歷史、人文信仰、日常運輸、常用器具，二樓展示農用耕作器具及傳統服飾等。,886-3-8762625,花蓮縣鳳林鎮中華路164號,花蓮縣,鳳林鎮,,每日上午08：30-12：00，下午13：30-17：00、星期一、民俗節日休館,,121.45143,23.74764,,,,,['nan']
3194,3194,花蓮觀光酒廠,,位於花蓮市的花蓮觀光酒廠，舊址原在目前的花蓮文化創意產業園區，當時在日治時期為民營的「宜蘭振拓株式會社花蓮港稻住工場」，以製造紅酒、米酒為主,886-3-8227151,花蓮縣花蓮市美工路六號,花蓮縣,花蓮市,,08:00-17:00,,121.63684,24.01762,,,,,['nan']
